Company,Sector,Name,Equities,%,Role,Date
"Amazon.com, Inc. (AMZN)",retailers,Jeff Bezos,"991,929,001",9.68%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,"The Vanguard Group, Inc.","674,618,913",6.58%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,"SSgA Funds Management, Inc.","336,270,158",3.28%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,Mackenzie T Bezos,"266,056,072",2.60%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,"T. Rowe Price Associates, Inc. (Investment Management)","218,514,089",2.13%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,Fidelity Management & Research Co. LLC,"209,882,998",2.05%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,BlackRock Fund Advisors,"195,616,012",1.91%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,Geode Capital Management LLC,"161,534,790",1.58%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,Norges Bank Investment Management,"98,376,088",0.96%,shareholder,18/05/2023
"Amazon.com, Inc. (AMZN)",retailers,"JPMorgan Investment Management, Inc.","89,447,806",0.87%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,"The Vanguard Group, Inc.","6,225,216",8.54%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,Capital Research & Management Co. (International Investors),"5,235,215",7.19%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,Capital Research & Management Co. (Global Investors),"3,194,576",4.38%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,Patrick Smith,"2,985,660",4.10%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,Friess Associates LLC,"2,697,800",3.70%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,Baillie Gifford & Co.,"2,364,333",3.24%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,"SSgA Funds Management, Inc.","2,110,630",2.90%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,Copper Rock Capital Partners LLC,"2,087,532",2.87%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,"Bjurman, Barry & Associates","2,025,336",2.78%,shareholder,18/05/2023
"Axon Enterprise, Inc. (AXON)",industrial goods,Wellington Management Co. LLP,"1,989,025",2.73%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,Icahn Associates Holding LLC,"38,292,235",22.90%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,"The Vanguard Group, Inc.","19,424,869",11.60%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,Capital Research & Management Co. (World Investors),"13,755,414",8.22%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,Capital Research & Management Co.,"13,350,778",7.98%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,ValueAct Capital Management LP,"8,213,576",4.91%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,"SSgA Funds Management, Inc.","7,055,277",4.22%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,"OppenheimerFunds, Inc.","4,465,388",2.67%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,Friess Associates LLC,"4,235,951",2.53%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,BlackRock Fund Advisors,"4,112,091",2.46%,shareholder,18/05/2023
"Motorola Solutions, Inc. (MSI)",technology equipment,AllianceBernstein LP,"3,506,737",2.10%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,"The Vanguard Group, Inc.","5,697,810",11.10%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,Scopia Capital Management LP,"2,200,328",4.28%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,"Greenville Capital Management, Inc. (Delware)","2,092,556",4.07%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,"SSgA Funds Management, Inc.","2,032,560",3.95%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,Blum Capital Partners LP,"1,930,851",3.76%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,APG Asset Management NV,"1,687,808",3.28%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,Kayne Anderson Rudnick Investment Management LLC,"1,507,533",2.93%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,Artisan Partners LP,"1,485,955",2.89%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,AllianceBernstein LP,"1,410,449",2.74%,shareholder,18/05/2023
Zebra Technologies corporation (ZBRA),technology equipment,Fairpointe Capital LLC,"1,382,975",2.69%,shareholder,18/05/2023
"SoundThinking, Inc. (SSTI) ",software & it services,Lauder Partners LLC,"2,255,406",18.40%,shareholder,18/05/2023
"SoundThinking, Inc. (SSTI) ",software & it services,Federated Global Investment Management Corp.,"1,260,000",10.30%,shareholder,18/05/2023
